,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
LFPG,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
EHAM,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1
EDDF,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
LEMD,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1
LEBL,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
EDDM,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1
EGKK,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1
LIRF,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0
EIDW,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1
LATI,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1
LQSA,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1
LBSF,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
LBBG,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
LDZA,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
LDSP,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1
LDDU,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
BKPR,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
LYTV,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1
LWSK,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
