,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0
LFPG,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1
EHAM,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0
EDDF,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
LEMD,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1
LEBL,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0
EDDM,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0
EGKK,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
LIRF,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1
EIDW,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0
LATI,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1
LQSA,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1
LBSF,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0
LBBG,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
LDZA,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1
LDSP,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
LDDU,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1
BKPR,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LYTV,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
LWSK,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0
