,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1
LFPG,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1
EHAM,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
EDDF,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1
LEMD,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
LEBL,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
EDDM,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
EGKK,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
LIRF,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0
EIDW,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1
LATI,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0
LQSA,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0
LBSF,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1
LBBG,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
LDZA,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1
LDSP,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
LDDU,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0
BKPR,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1
LYTV,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1
LWSK,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
