,EGLL,LFPG,EHAM,EDDF,LEMD,LEBL,EDDM,EGKK,LIRF,EIDW,LATI,LQSA,LBSF,LBBG,LDZA,LDSP,LDDU,BKPR,LYTV,LWSK
EGLL,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
LFPG,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
EHAM,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1
EDDF,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
LEMD,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
LEBL,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1
EDDM,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1
EGKK,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
LIRF,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1
EIDW,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1
LATI,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
LQSA,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
LBSF,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
LBBG,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LDZA,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1
LDSP,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
LDDU,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0
BKPR,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1
LYTV,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1
LWSK,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
